order_id,order_date,customer_id,sku,product_name,category,region,channel,quantity,unit_price
ORD-00062,03-30-2026,CUST-0041,SKU-007,Gel Pen Pack,Stationery,LATAM,wholesale,9,3.20
ORD-00063,09/04/2026,CUST-0025,SKU-002,Mechanical Keyboard,Electronics,AMER,online,7,129.00
ORD-00064,2026-05-14,CUST-0069,SKU-001,Wireless Mouse,Electronics,EMEA,retail,7,29.99
ORD-00065,06-20-2026,CUST-0080,SKU-002,Mechanical Keyboard,Electronics,AMER,wholesale,2,129.00
ORD-00066,10/05/2026,CUST-0053,SKU-005,Ergonomic Chair,Furniture,AMER,retail,5,249.00
ORD-00067,2026-02-19,CUST-0049,SKU-003,USB-C Hub,Electronics,EMEA,wholesale,10,45.50
ORD-00068,04-14-2026,CUST-0001,SKU-005,Ergonomic Chair,Furniture,AMER,retail,4,249.00
ORD-00069,21/07/2026,CUST-0042,SKU-007,Gel Pen Pack,Stationery,LATAM,retail,8,3.20
ORD-00070,2026-05-11,CUST-0022,SKU-004,Standing Desk,Furniture,APAC,retail,9,399.00
ORD-00071,01-24-2026,CUST-0031,SKU-006,Notebook A5,Stationery,AMER,online,4,6.75
ORD-00072,,CUST-0061,SKU-003,USB-C Hub,Electronics,,wholesale,2,45.50
ORD-00073,2026-04-17,CUST-0074,SKU-008,Coffee Beans 1kg,Grocery,EMEA,wholesale,7,18.90
ORD-00074,04-13-2026,CUST-0001,SKU-008,Coffee Beans 1kg,Grocery,APAC,retail,4,18.90
ORD-00075,25/07/2026,CUST-0067,SKU-003,USB-C Hub,Electronics,LATAM,online,9,45.50
ORD-00076,2026-02-01,CUST-0060,SKU-004,Standing Desk,Furniture,AMER,retail,10,399.00
ORD-00077,05-21-2026,CUST-0021,SKU-007,Gel Pen Pack,Stationery,LATAM,retail,5,3.20
ORD-00078,13/06/2026,CUST-0067,SKU-004,Standing Desk,Furniture,LATAM,wholesale,4,399.00
ORD-00079,2026-04-23,CUST-0037,SKU-005,Ergonomic Chair,Furniture,EMEA,retail,6,249.00
ORD-00080,05-19-2026,CUST-0020,SKU-006,Notebook A5,Stationery,EMEA,retail,3,6.75
ORD-00081,17/01/2026,CUST-0043,SKU-004,Standing Desk,Furniture,LATAM,retail,1,399.00
ORD-00082,2026-04-18,CUST-0075,SKU-004,Standing Desk,Furniture,APAC,wholesale,7,399.00
ORD-00083,01-02-2026,CUST-0039,SKU-008,Coffee Beans 1kg,Grocery,LATAM,retail,9,18.90
ORD-00084,05/05/2026,CUST-0056,SKU-004,Standing Desk,Furniture,LATAM,online,7,399.00
ORD-00085,2026-06-21,CUST-0052,SKU-006,Notebook A5,Stationery,EMEA,retail,3,6.75
ORD-00086,04-11-2026,CUST-0004,SKU-001,Wireless Mouse,Electronics,APAC,wholesale,7,29.99
ORD-00087,29/04/2026,CUST-0034,SKU-003,USB-C Hub,Electronics,LATAM,retail,4,45.50
ORD-00088,2026-03-25,CUST-0049,SKU-008,Coffee Beans 1kg,Grocery,AMER,retail,5,18.90
ORD-00089,,CUST-0070,SKU-002,Mechanical Keyboard,Electronics,,online,6,129.00
ORD-00090,16/06/2026,CUST-0006,SKU-004,Standing Desk,Furniture,APAC,online,4,399.00
ORD-00091,2026-06-09,CUST-0017,SKU-001,Wireless Mouse,Electronics,LATAM,wholesale,2,29.99
ORD-00092,04-30-2026,CUST-0048,SKU-004,Standing Desk,Furniture,EMEA,wholesale,10,399.00
ORD-00093,19/07/2026,CUST-0040,SKU-002,Mechanical Keyboard,Electronics,APAC,wholesale,1,129.00
ORD-00094,2026-05-28,CUST-0049,SKU-005,Ergonomic Chair,Furniture,LATAM,wholesale,4,249.00
ORD-00095,06-01-2026,CUST-0032,SKU-002,Mechanical Keyboard,Electronics,APAC,wholesale,5,129.00
ORD-00096,23/07/2026,CUST-0006,SKU-002,Mechanical Keyboard,Electronics,AMER,wholesale,7,129.00
ORD-00097,2026-01-18,CUST-0044,SKU-006,Notebook A5,Stationery,APAC,retail,8,6.75
ORD-00098,04-21-2026,CUST-0059,SKU-002,Mechanical Keyboard,Electronics,EMEA,retail,3,129.00
ORD-00099,07/06/2026,CUST-0069,SKU-005,Ergonomic Chair,Furniture,LATAM,retail,7,249.00
ORD-00100,2026-03-24,CUST-0012,SKU-005,Ergonomic Chair,Furniture,AMER,retail,4,249.00
ORD-00101,05-26-2026,CUST-0049,SKU-008,Coffee Beans 1kg,Grocery,AMER,online,8,18.90
ORD-00102,16/02/2026,CUST-0046,SKU-006,Notebook A5,Stationery,AMER,retail,5,6.75
ORD-00103,,CUST-0025,SKU-005,Ergonomic Chair,Furniture,,online,4,249.00
ORD-00104,05-06-2026,CUST-0031,SKU-007,Gel Pen Pack,Stationery,LATAM,wholesale,8,3.20
ORD-00105,,CUST-0038,SKU-008,Coffee Beans 1kg,Grocery,,online,7,18.90
ORD-00106,2026-03-20,CUST-0048,SKU-004,Standing Desk,Furniture,LATAM,wholesale,9,399.00
ORD-00107,04-19-2026,CUST-0071,SKU-006,Notebook A5,Stationery,AMER,retail,8,6.75
ORD-00108,20/03/2026,CUST-0016,SKU-005,Ergonomic Chair,Furniture,EMEA,retail,2,249.00
ORD-00109,2026-02-19,CUST-0062,SKU-003,USB-C Hub,Electronics,AMER,wholesale,10,45.50
ORD-00110,01-26-2026,CUST-0038,SKU-005,Ergonomic Chair,Furniture,EMEA,retail,3,249.00
ORD-00111,04/01/2026,CUST-0017,SKU-005,Ergonomic Chair,Furniture,AMER,online,1,249.00
ORD-00112,2026-06-28,CUST-0063,SKU-005,Ergonomic Chair,Furniture,APAC,online,10,249.00
ORD-00113,05-01-2026,CUST-0044,SKU-005,Ergonomic Chair,Furniture,EMEA,online,5,249.00
ORD-00114,30/01/2026,CUST-0052,SKU-008,Coffee Beans 1kg,Grocery,LATAM,online,10,18.90
ORD-00115,2026-02-08,CUST-0073,SKU-001,Wireless Mouse,Electronics,AMER,online,4,29.99
ORD-00116,05-23-2026,CUST-0078,SKU-002,Mechanical Keyboard,Electronics,EMEA,wholesale,7,129.00
ORD-00117,24/04/2026,CUST-0076,SKU-008,Coffee Beans 1kg,Grocery,LATAM,retail,10,18.90
ORD-00118,2026-06-06,CUST-0013,SKU-001,Wireless Mouse,Electronics,EMEA,wholesale,4,29.99
ORD-00119,06-19-2026,CUST-0031,SKU-005,Ergonomic Chair,Furniture,EMEA,wholesale,2,249.00
ORD-00120,01/01/2026,CUST-0077,SKU-003,USB-C Hub,Electronics,LATAM,retail,1,45.50
ORD-00121,2026-03-15,CUST-0059,SKU-004,Standing Desk,Furniture,APAC,wholesale,4,399.00
ORD-00122,07-21-2026,CUST-0076,SKU-005,Ergonomic Chair,Furniture,EMEA,retail,2,249.00
ORD-00123,15/06/2026,CUST-0035,SKU-004,Standing Desk,Furniture,EMEA,online,1,399.00
ORD-00124,2026-07-22,CUST-0073,SKU-003,USB-C Hub,Electronics,AMER,retail,2,45.50
ORD-00125,06-26-2026,CUST-0052,SKU-008,Coffee Beans 1kg,Grocery,AMER,wholesale,9,18.90
ORD-00126,23/04/2026,CUST-0006,SKU-008,Coffee Beans 1kg,Grocery,LATAM,wholesale,6,18.90
ORD-00127,2026-01-07,CUST-0074,SKU-005,Ergonomic Chair,Furniture,APAC,wholesale,5,249.00
ORD-00128,07-15-2026,CUST-0061,SKU-001,Wireless Mouse,Electronics,LATAM,retail,3,29.99
ORD-00129,12/06/2026,CUST-0012,SKU-007,Gel Pen Pack,Stationery,LATAM,retail,7,3.20
ORD-00130,2026-03-24,CUST-0021,SKU-006,Notebook A5,Stationery,AMER,retail,8,6.75
ORD-00131,06-19-2026,CUST-0071,SKU-005,Ergonomic Chair,Furniture,APAC,retail,2,249.00
ORD-00132,06/03/2026,CUST-0052,SKU-006,Notebook A5,Stationery,APAC,wholesale,9,6.75
ORD-00133,2026-04-16,CUST-0067,SKU-008,Coffee Beans 1kg,Grocery,AMER,wholesale,8,18.90
ORD-00134,07-14-2026,CUST-0035,SKU-008,Coffee Beans 1kg,Grocery,EMEA,retail,8,18.90
ORD-00135,,CUST-0078,SKU-008,Coffee Beans 1kg,Grocery,,online,3,18.90
ORD-00136,,CUST-0053,SKU-005,Ergonomic Chair,Furniture,,online,4,249.00
ORD-00137,04-29-2026,CUST-0020,SKU-002,Mechanical Keyboard,Electronics,LATAM,wholesale,5,129.00
ORD-00138,17/04/2026,CUST-0061,SKU-005,Ergonomic Chair,Furniture,EMEA,retail,9,249.00
ORD-00139,2026-04-09,CUST-0077,SKU-003,USB-C Hub,Electronics,EMEA,online,5,45.50
ORD-00140,03-29-2026,CUST-0065,SKU-007,Gel Pen Pack,Stationery,AMER,online,5,3.20
ORD-00141,31/05/2026,CUST-0063,SKU-005,Ergonomic Chair,Furniture,EMEA,retail,9,249.00
ORD-00142,2026-03-30,CUST-0070,SKU-008,Coffee Beans 1kg,Grocery,LATAM,retail,6,18.90
ORD-00143,06-28-2026,CUST-0050,SKU-004,Standing Desk,Furniture,EMEA,retail,1,399.00
ORD-00144,10/07/2026,CUST-0049,SKU-006,Notebook A5,Stationery,LATAM,wholesale,3,6.75
ORD-00145,2026-01-10,CUST-0076,SKU-008,Coffee Beans 1kg,Grocery,AMER,online,8,18.90
ORD-00146,05-15-2026,CUST-0002,SKU-002,Mechanical Keyboard,Electronics,EMEA,retail,3,129.00
ORD-00147,01/05/2026,CUST-0034,SKU-002,Mechanical Keyboard,Electronics,AMER,wholesale,7,129.00
ORD-00148,2026-03-26,CUST-0069,SKU-002,Mechanical Keyboard,Electronics,LATAM,retail,8,129.00
ORD-00149,06-08-2026,CUST-0037,SKU-001,Wireless Mouse,Electronics,EMEA,wholesale,2,29.99
ORD-00150,26/01/2026,CUST-0013,SKU-007,Gel Pen Pack,Stationery,LATAM,online,5,3.20
ORD-00151,2026-01-12,CUST-0008,SKU-001,Wireless Mouse,Electronics,AMER,retail,6,29.99
ORD-00152,02-07-2026,CUST-0053,SKU-007,Gel Pen Pack,Stationery,EMEA,online,3,3.20
ORD-00153,06/06/2026,CUST-0080,SKU-002,Mechanical Keyboard,Electronics,EMEA,retail,10,129.00
ORD-00154,2026-03-01,CUST-0033,SKU-003,USB-C Hub,Electronics,LATAM,retail,1,45.50
ORD-00155,03-15-2026,CUST-0021,SKU-008,Coffee Beans 1kg,Grocery,APAC,retail,6,18.90
ORD-00156,13/06/2026,CUST-0033,SKU-005,Ergonomic Chair,Furniture,LATAM,retail,4,249.00
ORD-00157,2026-05-04,CUST-0049,SKU-007,Gel Pen Pack,Stationery,AMER,wholesale,5,3.20
ORD-00158,01-06-2026,CUST-0051,SKU-005,Ergonomic Chair,Furniture,AMER,online,10,249.00
ORD-00159,05/06/2026,CUST-0037,SKU-001,Wireless Mouse,Electronics,EMEA,wholesale,6,29.99
ORD-00160,2026-06-12,CUST-0033,SKU-004,Standing Desk,Furniture,EMEA,wholesale,2,399.00
ORD-00161,03-21-2026,CUST-0005,SKU-001,Wireless Mouse,Electronics,AMER,wholesale,3,29.99
ORD-00162,17/03/2026,CUST-0054,SKU-002,Mechanical Keyboard,Electronics,EMEA,online,3,129.00
ORD-00163,2026-05-16,CUST-0035,SKU-006,Notebook A5,Stationery,EMEA,retail,8,6.75
ORD-00164,07-11-2026,CUST-0015,SKU-005,Ergonomic Chair,Furniture,LATAM,online,3,249.00
ORD-00165,23/06/2026,CUST-0051,SKU-004,Standing Desk,Furniture,AMER,online,7,399.00
ORD-00166,2026-03-09,CUST-0059,SKU-001,Wireless Mouse,Electronics,AMER,wholesale,5,29.99
ORD-00167,07-30-2026,CUST-0048,SKU-007,Gel Pen Pack,Stationery,APAC,wholesale,4,3.20
ORD-00168,07/01/2026,CUST-0072,SKU-008,Coffee Beans 1kg,Grocery,AMER,wholesale,4,18.90
ORD-00169,2026-06-12,CUST-0039,SKU-002,Mechanical Keyboard,Electronics,LATAM,online,3,129.00
ORD-00170,01-10-2026,CUST-0064,SKU-001,Wireless Mouse,Electronics,APAC,online,4,29.99
ORD-00171,10/04/2026,CUST-0070,SKU-003,USB-C Hub,Electronics,LATAM,wholesale,3,45.50
ORD-00172,2026-06-17,CUST-0063,SKU-007,Gel Pen Pack,Stationery,LATAM,retail,1,3.20
ORD-00173,02-25-2026,CUST-0031,SKU-006,Notebook A5,Stationery,AMER,online,6,6.75
ORD-00174,16/01/2026,CUST-0025,SKU-006,Notebook A5,Stationery,APAC,retail,2,6.75
ORD-00175,2026-06-14,CUST-0003,SKU-004,Standing Desk,Furniture,APAC,retail,4,399.00
ORD-00176,07-21-2026,CUST-0009,SKU-003,USB-C Hub,Electronics,EMEA,wholesale,4,45.50
ORD-00177,26/03/2026,CUST-0077,SKU-004,Standing Desk,Furniture,APAC,retail,3,399.00
ORD-00178,2026-05-19,CUST-0023,SKU-003,USB-C Hub,Electronics,APAC,wholesale,1,45.50
ORD-00179,01-04-2026,CUST-0031,SKU-003,USB-C Hub,Electronics,AMER,online,3,45.50
ORD-00180,14/01/2026,CUST-0054,SKU-005,Ergonomic Chair,Furniture,APAC,wholesale,2,249.00
ORD-00181,2026-04-25,CUST-0066,SKU-008,Coffee Beans 1kg,Grocery,APAC,retail,9,18.90
ORD-00182,,CUST-0067,SKU-004,Standing Desk,Furniture,,retail,8,399.00
ORD-00183,16/01/2026,CUST-0052,SKU-001,Wireless Mouse,Electronics,LATAM,wholesale,2,29.99
ORD-00184,2026-07-02,CUST-0010,SKU-008,Coffee Beans 1kg,Grocery,APAC,retail,10,18.90
ORD-00185,01-17-2026,CUST-0080,SKU-003,USB-C Hub,Electronics,AMER,retail,10,45.50
ORD-00186,27/04/2026,CUST-0056,SKU-005,Ergonomic Chair,Furniture,APAC,wholesale,2,249.00
ORD-00187,2026-04-21,CUST-0030,SKU-004,Standing Desk,Furniture,LATAM,retail,8,399.00
ORD-00188,04-17-2026,CUST-0041,SKU-007,Gel Pen Pack,Stationery,LATAM,retail,5,3.20
ORD-00189,09/02/2026,CUST-0061,SKU-006,Notebook A5,Stationery,APAC,online,2,6.75
ORD-00190,2026-04-21,CUST-0048,SKU-002,Mechanical Keyboard,Electronics,EMEA,wholesale,1,129.00
ORD-00191,06-21-2026,CUST-0046,SKU-006,Notebook A5,Stationery,LATAM,wholesale,1,6.75
ORD-00192,03/06/2026,CUST-0014,SKU-005,Ergonomic Chair,Furniture,EMEA,online,8,249.00
ORD-00193,2026-01-28,CUST-0072,SKU-004,Standing Desk,Furniture,AMER,online,5,399.00
ORD-00194,07-26-2026,CUST-0072,SKU-004,Standing Desk,Furniture,APAC,wholesale,5,399.00
ORD-00195,16/02/2026,CUST-0040,SKU-001,Wireless Mouse,Electronics,AMER,retail,1,29.99
ORD-00196,2026-02-06,CUST-0052,SKU-003,USB-C Hub,Electronics,APAC,online,1,45.50
ORD-00197,07-11-2026,CUST-0049,SKU-002,Mechanical Keyboard,Electronics,LATAM,retail,6,129.00
ORD-00198,05/04/2026,CUST-0042,SKU-003,USB-C Hub,Electronics,APAC,online,3,45.50
ORD-00199,2026-07-13,CUST-0011,SKU-003,USB-C Hub,Electronics,AMER,retail,7,45.50
ORD-00200,06-05-2026,CUST-0035,SKU-008,Coffee Beans 1kg,Grocery,EMEA,wholesale,2,18.90
ORD-00201,21/04/2026,CUST-0076,SKU-006,Notebook A5,Stationery,LATAM,wholesale,5,6.75
ORD-00202,2026-02-26,CUST-0077,SKU-001,Wireless Mouse,Electronics,APAC,online,4,29.99
ORD-00203,02-24-2026,CUST-0033,SKU-005,Ergonomic Chair,Furniture,AMER,retail,2,249.00
ORD-00204,08/05/2026,CUST-0023,SKU-001,Wireless Mouse,Electronics,EMEA,retail,9,29.99
ORD-00205,2026-05-09,CUST-0046,SKU-004,Standing Desk,Furniture,APAC,retail,1,399.00
ORD-00206,01-05-2026,CUST-0010,SKU-007,Gel Pen Pack,Stationery,AMER,wholesale,7,3.20
ORD-00207,01/07/2026,CUST-0038,SKU-007,Gel Pen Pack,Stationery,APAC,retail,1,3.20
ORD-00208,2026-02-13,CUST-0080,SKU-006,Notebook A5,Stationery,LATAM,wholesale,6,6.75
ORD-00209,04-22-2026,CUST-0032,SKU-002,Mechanical Keyboard,Electronics,LATAM,wholesale,7,129.00
ORD-00210,12/04/2026,CUST-0044,SKU-002,Mechanical Keyboard,Electronics,EMEA,retail,3,129.00
ORD-00211,2026-05-11,CUST-0068,SKU-002,Mechanical Keyboard,Electronics,EMEA,retail,6,129.00
ORD-00212,03-02-2026,CUST-0033,SKU-003,USB-C Hub,Electronics,EMEA,online,10,45.50
ORD-00213,14/07/2026,CUST-0010,SKU-003,USB-C Hub,Electronics,EMEA,wholesale,8,45.50
ORD-00214,2026-07-13,CUST-0075,SKU-008,Coffee Beans 1kg,Grocery,LATAM,wholesale,10,18.90
ORD-00215,06-10-2026,CUST-0057,SKU-006,Notebook A5,Stationery,APAC,retail,8,6.75
ORD-00216,23/07/2026,CUST-0008,SKU-005,Ergonomic Chair,Furniture,AMER,wholesale,2,249.00
ORD-00217,2026-04-29,CUST-0008,SKU-005,Ergonomic Chair,Furniture,AMER,retail,2,249.00
ORD-00218,06-07-2026,CUST-0050,SKU-002,Mechanical Keyboard,Electronics,LATAM,wholesale,9,129.00
ORD-00219,26/04/2026,CUST-0074,SKU-001,Wireless Mouse,Electronics,EMEA,retail,10,29.99
ORD-00220,2026-05-09,CUST-0008,SKU-008,Coffee Beans 1kg,Grocery,LATAM,online,6,18.90
ORD-00221,05-10-2026,CUST-0006,SKU-002,Mechanical Keyboard,Electronics,EMEA,wholesale,8,129.00
ORD-00222,15/05/2026,CUST-0021,SKU-008,Coffee Beans 1kg,Grocery,AMER,retail,5,18.90
ORD-00223,2026-04-15,CUST-0077,SKU-007,Gel Pen Pack,Stationery,APAC,wholesale,6,3.20
ORD-00224,03-26-2026,CUST-0050,SKU-002,Mechanical Keyboard,Electronics,AMER,retail,10,129.00
ORD-00225,27/03/2026,CUST-0019,SKU-003,USB-C Hub,Electronics,AMER,retail,7,45.50
ORD-00226,2026-06-02,CUST-0011,SKU-003,USB-C Hub,Electronics,AMER,wholesale,7,45.50
ORD-00227,07-28-2026,CUST-0068,SKU-006,Notebook A5,Stationery,APAC,wholesale,7,6.75
ORD-00228,05/01/2026,CUST-0024,SKU-006,Notebook A5,Stationery,EMEA,retail,8,6.75
ORD-00229,2026-02-27,CUST-0020,SKU-004,Standing Desk,Furniture,APAC,retail,2,399.00
ORD-00230,06-19-2026,CUST-0080,SKU-001,Wireless Mouse,Electronics,EMEA,wholesale,7,29.99
ORD-00231,11/02/2026,CUST-0080,SKU-003,USB-C Hub,Electronics,EMEA,wholesale,8,45.50
ORD-00232,2026-04-16,CUST-0031,SKU-001,Wireless Mouse,Electronics,LATAM,wholesale,5,29.99
ORD-00233,03-01-2026,CUST-0040,SKU-008,Coffee Beans 1kg,Grocery,LATAM,online,6,18.90
ORD-00234,29/04/2026,CUST-0049,SKU-008,Coffee Beans 1kg,Grocery,LATAM,online,4,18.90
ORD-00235,2026-03-06,CUST-0062,SKU-003,USB-C Hub,Electronics,AMER,wholesale,2,45.50
ORD-00236,03-14-2026,CUST-0021,SKU-002,Mechanical Keyboard,Electronics,AMER,retail,9,129.00
ORD-00237,22/04/2026,CUST-0029,SKU-003,USB-C Hub,Electronics,LATAM,retail,1,45.50
ORD-00238,2026-01-14,CUST-0048,SKU-007,Gel Pen Pack,Stationery,EMEA,retail,2,3.20
ORD-00239,,CUST-0013,SKU-006,Notebook A5,Stationery,,wholesale,6,6.75
ORD-00240,,CUST-0061,SKU-003,USB-C Hub,Electronics,,wholesale,3,45.50
ORD-00241,2026-04-25,CUST-0011,SKU-008,Coffee Beans 1kg,Grocery,APAC,retail,4,18.90
ORD-00242,05-21-2026,CUST-0078,SKU-003,USB-C Hub,Electronics,LATAM,online,5,45.50
ORD-00243,19/03/2026,CUST-0031,SKU-004,Standing Desk,Furniture,LATAM,wholesale,10,399.00
ORD-00244,2026-01-17,CUST-0064,SKU-008,Coffee Beans 1kg,Grocery,APAC,wholesale,9,18.90
ORD-00245,07-03-2026,CUST-0055,SKU-004,Standing Desk,Furniture,APAC,wholesale,6,399.00
ORD-00246,27/05/2026,CUST-0011,SKU-004,Standing Desk,Furniture,AMER,online,9,399.00
ORD-00247,2026-04-10,CUST-0006,SKU-001,Wireless Mouse,Electronics,LATAM,retail,5,29.99
ORD-00248,04-02-2026,CUST-0045,SKU-001,Wireless Mouse,Electronics,EMEA,wholesale,2,29.99
ORD-00249,,CUST-0070,SKU-006,Notebook A5,Stationery,,retail,3,6.75
ORD-00250,2026-06-28,CUST-0024,SKU-008,Coffee Beans 1kg,Grocery,EMEA,online,8,18.90
ORD-00251,03-17-2026,CUST-0026,SKU-001,Wireless Mouse,Electronics,APAC,retail,5,29.99
ORD-00252,28/07/2026,CUST-0033,SKU-007,Gel Pen Pack,Stationery,APAC,wholesale,4,3.20
ORD-00253,2026-04-02,CUST-0007,SKU-005,Ergonomic Chair,Furniture,AMER,retail,2,249.00
